lat,lon,ssh_m,sla_m,adt_m,source,date
30.0625,-77.0625,0.8568,0.1924,0.8568,CMEMS_ALT,2026-09-11
30.0625,-76.9375,0.8353,0.1613,0.8353,CMEMS_ALT,2026-09-11
30.0625,-76.8125,0.8077,0.1282,0.8077,CMEMS_ALT,2026-09-11
30.0625,-76.6875,0.7807,0.0933,0.7807,CMEMS_ALT,2026-09-11
30.0625,-76.5625,0.7514,0.0573,0.7514,CMEMS_ALT,2026-09-11
30.0625,-76.4375,0.7249,0.0226,0.7249,CMEMS_ALT,2026-09-11
30.0625,-76.3125,0.7007,-0.0058,0.7007,CMEMS_ALT,2026-09-11
30.0625,-76.1875,0.682,-0.0215,0.682,CMEMS_ALT,2026-09-11
30.0625,-76.0625,0.6779,-0.0197,0.6779,CMEMS_ALT,2026-09-11
30.0625,-75.9375,0.6938,-0.0002,0.6938,CMEMS_ALT,2026-09-11
30.0625,-75.8125,0.7192,0.0312,0.7192,CMEMS_ALT,2026-09-11
30.0625,-75.6875,0.7485,0.0647,0.7485,CMEMS_ALT,2026-09-11
30.0625,-75.5625,0.7704,0.0906,0.7704,CMEMS_ALT,2026-09-11
30.0625,-75.4375,0.779,0.1031,0.779,CMEMS_ALT,2026-09-11
30.0625,-75.3125,0.7732,0.102,0.7732,CMEMS_ALT,2026-09-11
30.1875,-81.3125,0.1506,0.1704,0.1506,CMEMS_ALT,2026-09-11
30.1875,-81.1875,0.1397,0.1628,0.1397,CMEMS_ALT,2026-09-11
30.1875,-81.0625,0.129,0.1534,0.129,CMEMS_ALT,2026-09-11
30.1875,-80.9375,0.0933,0.1411,0.0933,CMEMS_ALT,2026-09-11
30.1875,-80.8125,0.079,0.1262,0.079,CMEMS_ALT,2026-09-11
30.1875,-80.6875,0.067,0.1107,0.067,CMEMS_ALT,2026-09-11
30.1875,-80.5625,0.0377,0.0975,0.0377,CMEMS_ALT,2026-09-11
30.1875,-80.4375,0.034,0.0878,0.034,CMEMS_ALT,2026-09-11
30.1875,-80.3125,0.0456,0.0809,0.0456,CMEMS_ALT,2026-09-11
30.1875,-80.1875,0.0832,0.0754,0.0832,CMEMS_ALT,2026-09-11
30.1875,-80.0625,0.1763,0.0704,0.1763,CMEMS_ALT,2026-09-11
30.1875,-79.9375,0.3091,0.0674,0.3091,CMEMS_ALT,2026-09-11
30.1875,-79.8125,0.4449,0.0694,0.4449,CMEMS_ALT,2026-09-11
30.1875,-79.6875,0.5658,0.0794,0.5658,CMEMS_ALT,2026-09-11
30.1875,-79.5625,0.6706,0.0985,0.6706,CMEMS_ALT,2026-09-11
30.1875,-79.4375,0.7605,0.124,0.7605,CMEMS_ALT,2026-09-11
30.1875,-79.3125,0.8294,0.1505,0.8294,CMEMS_ALT,2026-09-11
30.1875,-79.1875,0.8744,0.1728,0.8744,CMEMS_ALT,2026-09-11
30.1875,-79.0625,0.9016,0.1892,0.9016,CMEMS_ALT,2026-09-11
30.1875,-78.9375,0.9147,0.2015,0.9147,CMEMS_ALT,2026-09-11
30.1875,-78.8125,0.9257,0.2137,0.9257,CMEMS_ALT,2026-09-11
30.1875,-78.6875,0.9432,0.229,0.9432,CMEMS_ALT,2026-09-11
30.1875,-78.5625,0.962,0.2478,0.962,CMEMS_ALT,2026-09-11
30.1875,-78.4375,0.9712,0.2686,0.9712,CMEMS_ALT,2026-09-11
30.1875,-78.3125,0.9762,0.288,0.9762,CMEMS_ALT,2026-09-11
30.1875,-78.1875,0.9776,0.3023,0.9776,CMEMS_ALT,2026-09-11
30.1875,-78.0625,0.9653,0.3087,0.9653,CMEMS_ALT,2026-09-11
30.1875,-77.9375,0.9475,0.3067,0.9475,CMEMS_ALT,2026-09-11
30.1875,-77.8125,0.9285,0.2985,0.9285,CMEMS_ALT,2026-09-11
30.1875,-77.6875,0.9165,0.2873,0.9165,CMEMS_ALT,2026-09-11
30.1875,-77.5625,0.9048,0.2746,0.9048,CMEMS_ALT,2026-09-11
30.1875,-77.4375,0.8931,0.259,0.8931,CMEMS_ALT,2026-09-11
30.1875,-77.3125,0.8798,0.2379,0.8798,CMEMS_ALT,2026-09-11
30.1875,-77.1875,0.8585,0.2094,0.8585,CMEMS_ALT,2026-09-11
30.1875,-77.0625,0.8357,0.1744,0.8357,CMEMS_ALT,2026-09-11
30.1875,-76.9375,0.8068,0.1354,0.8068,CMEMS_ALT,2026-09-11
30.1875,-76.8125,0.7736,0.0948,0.7736,CMEMS_ALT,2026-09-11
30.1875,-76.6875,0.737,0.0539,0.737,CMEMS_ALT,2026-09-11
30.1875,-76.5625,0.705,0.0139,0.705,CMEMS_ALT,2026-09-11
30.1875,-76.4375,0.6765,-0.0225,0.6765,CMEMS_ALT,2026-09-11
30.1875,-76.3125,0.6536,-0.0499,0.6536,CMEMS_ALT,2026-09-11
30.1875,-76.1875,0.6384,-0.062,0.6384,CMEMS_ALT,2026-09-11
30.1875,-76.0625,0.6395,-0.0546,0.6395,CMEMS_ALT,2026-09-11
30.1875,-75.9375,0.6621,-0.0288,0.6621,CMEMS_ALT,2026-09-11
