lat,lon,ssh_m,sla_m,adt_m,source,date
22.9375,-77.0625,0.872,0.1896,0.872,CMEMS_ALT,2026-08-20
22.9375,-76.9375,0.8737,0.1891,0.8737,CMEMS_ALT,2026-08-20
22.9375,-76.8125,0.8751,0.1866,0.8751,CMEMS_ALT,2026-08-20
22.9375,-76.6875,0.8763,0.1833,0.8763,CMEMS_ALT,2026-08-20
22.9375,-76.5625,0.872,0.1804,0.872,CMEMS_ALT,2026-08-20
22.9375,-76.4375,0.8694,0.1786,0.8694,CMEMS_ALT,2026-08-20
22.9375,-76.3125,0.862,0.1782,0.862,CMEMS_ALT,2026-08-20
22.9375,-76.1875,0.8574,0.1786,0.8574,CMEMS_ALT,2026-08-20
23.0625,-83.0625,0.7882,0.1427,0.7882,CMEMS_ALT,2026-08-20
23.0625,-82.9375,0.7783,0.137,0.7783,CMEMS_ALT,2026-08-20
23.0625,-82.8125,0.772,0.1302,0.772,CMEMS_ALT,2026-08-20
23.0625,-82.6875,0.7662,0.1236,0.7662,CMEMS_ALT,2026-08-20
23.0625,-82.5625,0.7561,0.1181,0.7561,CMEMS_ALT,2026-08-20
23.0625,-82.4375,0.7528,0.1138,0.7528,CMEMS_ALT,2026-08-20
23.0625,-81.5625,0.7295,0.1144,0.7295,CMEMS_ALT,2026-08-20
23.0625,-81.4375,0.73,0.1187,0.73,CMEMS_ALT,2026-08-20
23.0625,-81.3125,0.7463,0.1255,0.7463,CMEMS_ALT,2026-08-20
23.0625,-81.1875,0.7568,0.1342,0.7568,CMEMS_ALT,2026-08-20
23.0625,-81.0625,0.7679,0.1431,0.7679,CMEMS_ALT,2026-08-20
23.0625,-80.9375,0.7786,0.1502,0.7786,CMEMS_ALT,2026-08-20
23.0625,-80.8125,0.7871,0.1551,0.7871,CMEMS_ALT,2026-08-20
23.0625,-80.6875,0.7938,0.158,0.7938,CMEMS_ALT,2026-08-20
23.0625,-80.5625,0.8098,0.1588,0.8098,CMEMS_ALT,2026-08-20
23.0625,-80.4375,0.8094,0.158,0.8094,CMEMS_ALT,2026-08-20
23.0625,-80.3125,0.7978,0.1559,0.7978,CMEMS_ALT,2026-08-20
23.0625,-80.1875,0.8484,0.1525,0.8484,CMEMS_ALT,2026-08-20
23.0625,-80.0625,0.8084,0.1466,0.8084,CMEMS_ALT,2026-08-20
23.0625,-79.9375,0.8,0.1364,0.8,CMEMS_ALT,2026-08-20
23.0625,-79.8125,0.778,0.1223,0.778,CMEMS_ALT,2026-08-20
23.0625,-79.6875,0.7612,0.1085,0.7612,CMEMS_ALT,2026-08-20
23.0625,-79.5625,0.7497,0.1021,0.7497,CMEMS_ALT,2026-08-20
23.0625,-79.4375,0.7556,0.1078,0.7556,CMEMS_ALT,2026-08-20
23.0625,-79.3125,0.7742,0.1244,0.7742,CMEMS_ALT,2026-08-20
23.0625,-79.1875,0.8118,0.1452,0.8118,CMEMS_ALT,2026-08-20
23.0625,-79.0625,0.8434,0.1629,0.8434,CMEMS_ALT,2026-08-20
23.0625,-78.9375,0.8587,0.1733,0.8587,CMEMS_ALT,2026-08-20
23.0625,-78.8125,0.8614,0.1763,0.8614,CMEMS_ALT,2026-08-20
23.0625,-78.6875,0.8597,0.1745,0.8597,CMEMS_ALT,2026-08-20
23.0625,-78.5625,0.8599,0.1709,0.8599,CMEMS_ALT,2026-08-20
23.0625,-78.4375,0.8576,0.168,0.8576,CMEMS_ALT,2026-08-20
23.0625,-78.3125,0.8548,0.1673,0.8548,CMEMS_ALT,2026-08-20
23.0625,-78.1875,0.8568,0.1688,0.8568,CMEMS_ALT,2026-08-20
23.0625,-78.0625,0.8555,0.1714,0.8555,CMEMS_ALT,2026-08-20
23.0625,-77.9375,0.8602,0.1738,0.8602,CMEMS_ALT,2026-08-20
23.0625,-77.8125,0.8632,0.1755,0.8632,CMEMS_ALT,2026-08-20
23.0625,-77.6875,0.8705,0.1773,0.8705,CMEMS_ALT,2026-08-20
23.0625,-77.5625,0.8754,0.1798,0.8754,CMEMS_ALT,2026-08-20
23.0625,-77.4375,0.8764,0.1834,0.8764,CMEMS_ALT,2026-08-20
23.0625,-77.3125,0.8754,0.1874,0.8754,CMEMS_ALT,2026-08-20
23.0625,-77.1875,0.877,0.1908,0.877,CMEMS_ALT,2026-08-20
23.0625,-77.0625,0.8832,0.1926,0.8832,CMEMS_ALT,2026-08-20
23.0625,-76.9375,0.885,0.192,0.885,CMEMS_ALT,2026-08-20
23.0625,-76.8125,0.8826,0.1894,0.8826,CMEMS_ALT,2026-08-20
23.0625,-76.6875,0.8764,0.1858,0.8764,CMEMS_ALT,2026-08-20
23.0625,-76.5625,0.8731,0.1826,0.8731,CMEMS_ALT,2026-08-20
23.0625,-76.4375,0.8702,0.1809,0.8702,CMEMS_ALT,2026-08-20
23.0625,-76.3125,0.8647,0.181,0.8647,CMEMS_ALT,2026-08-20
23.0625,-76.1875,0.8594,0.1824,0.8594,CMEMS_ALT,2026-08-20
23.1875,-83.0625,0.74,0.1376,0.74,CMEMS_ALT,2026-08-20
23.1875,-82.9375,0.7399,0.1346,0.7399,CMEMS_ALT,2026-08-20
23.1875,-82.8125,0.7404,0.1301,0.7404,CMEMS_ALT,2026-08-20
23.1875,-82.6875,0.7385,0.1251,0.7385,CMEMS_ALT,2026-08-20
23.1875,-82.5625,0.7434,0.1202,0.7434,CMEMS_ALT,2026-08-20
23.1875,-82.4375,0.7447,0.1154,0.7447,CMEMS_ALT,2026-08-20
23.1875,-82.3125,0.7456,0.1107,0.7456,CMEMS_ALT,2026-08-20
23.1875,-82.1875,0.7425,0.1063,0.7425,CMEMS_ALT,2026-08-20
23.1875,-82.0625,0.7402,0.1023,0.7402,CMEMS_ALT,2026-08-20
23.1875,-81.9375,0.7342,0.0991,0.7342,CMEMS_ALT,2026-08-20
23.1875,-81.8125,0.7293,0.0967,0.7293,CMEMS_ALT,2026-08-20
23.1875,-81.6875,0.7262,0.0954,0.7262,CMEMS_ALT,2026-08-20
23.1875,-81.5625,0.7256,0.0955,0.7256,CMEMS_ALT,2026-08-20
23.1875,-81.4375,0.7275,0.0976,0.7275,CMEMS_ALT,2026-08-20
23.1875,-81.3125,0.7261,0.1024,0.7261,CMEMS_ALT,2026-08-20
23.1875,-81.1875,0.7304,0.1094,0.7304,CMEMS_ALT,2026-08-20
23.1875,-81.0625,0.7365,0.1173,0.7365,CMEMS_ALT,2026-08-20
23.1875,-80.9375,0.7313,0.1244,0.7313,CMEMS_ALT,2026-08-20
23.1875,-80.8125,0.7988,0.1303,0.7988,CMEMS_ALT,2026-08-20
23.1875,-80.6875,0.774,0.1347,0.774,CMEMS_ALT,2026-08-20
23.1875,-80.5625,0.776,0.137,0.776,CMEMS_ALT,2026-08-20
